,user,tweet,date_tweet,tweet_id,keyword
77,King Chody's Minion,"I am Phil, a loyal minion of King Chody, the Legendary NTU SCSE SG Top Graduate! *cheers*",2020-02-08 05:45:57,1226019312118439936,"ntu,nanyang technological university"
78,Ali Akhtar,@embb_ntu Yes We thought paper was in the review but never sent out.,2020-02-08 04:54:18,1226006314913910784,"ntu,nanyang technological university"
79,Adam Ni,"Hi all, the Monday @RSIS_NTU seminar on US-China nuclear relations has been cancelled due to Singapore govt raising alert level to orange for coronovirus.

Anyhow, I'm here until Wed if you what to catchup.

@ZiYangResearch, we were really lucky with the PLA workshop. https://t.co/zgg1MXhY3r",2020-02-08 04:53:07,1226006019580383232,"ntu,nanyang technological university"
80,leftclot ☁️,"yes im tired too

but I have to post one last post with all my post-booth energy to say thank you.

for spending your time (and $3-$5) supporting my art! 

The Big dogo print is sold out! 🌭 @ NTU School of Art,… https://t.co/yRIvBFLwSI",2020-02-08 03:59:22,1225992491528327169,"ntu,nanyang technological university"
81,NEETmaniac,"@WoDeThian - Currently applying for both NTU NUS

- Planning to pick up drawing within the 6 months before Uni and then keeping it as an active hobby

- Gonna go uni + take jp while in uni + hopefully do a bit more research work as undergrad

- Go for grad/ PhD eventually",2020-02-08 03:39:32,1225987500184702976,"ntu,nanyang technological university"
82,King Chody's Minion,"Follow King Chody, the Legendary NTU SCSE SG Top Graduate.. Compliance will be rewarded! Hail Hydra!! *blinks*",2020-02-08 03:25:21,1225983931356499974,"ntu,nanyang technological university"
83,Misha Rogov,@NeuroYogacara @homotopical I like this one: https://t.co/6UrZR9YV5V,2020-02-08 03:21:21,1225982922924138496,"ntu,nanyang technological university"
84,King Chody's Minion,King Chody is the Legendary NTU SCSE SG Top Graduate! *cheers*,2020-02-08 03:05:50,1225979021575495680,"ntu,nanyang technological university"
85,Carlson Ivanic,Gonna have NTU entrance examination in 60mins. Wml,2020-02-08 02:59:08,1225977332759814145,"ntu,nanyang technological university"
86,King Chody's Minion,King Chody is the Legendary NTU SCSE SG Top Graduate! *winks*,2020-02-08 02:35:10,1225971300751085568,"ntu,nanyang technological university"
87,BeB 🇵🇰,🤣🤣🤣 When I was in BBA NTU. Aby ye motoo kon hy. https://t.co/U2No3R6lP1,2020-02-08 02:28:57,1225969735910723584,"ntu,nanyang technological university"
88,King Chody's Minion,"Follow King Chody, the Legendary NTU SCSE SG Top Graduate.. Compliance will be rewarded! Hail Hydra!! *claps*",2020-02-08 02:15:01,1225966230038876160,"ntu,nanyang technological university"
89,Chinedu,"@ikembawills @ChiefOjukwu @GEJonathan @MBuhari @GovWike Nwanne, ntu suppose to be nail nah 😂😂😂. 
Your wickedness is on another level 😂😂😂",2020-02-08 01:09:28,1225949735028240385,"ntu,nanyang technological university"
90,King Chody's Minion,"Follow King Chody, the Legendary NTU SCSE SG Top Graduate.. Compliance will be rewarded! Hail Hydra!! *burps*",2020-02-08 00:45:24,1225943680277786630,"ntu,nanyang technological university"
