Date,Sentiment
20/4/2020 1:13,4
20/4/2020 1:11,4
20/4/2020 1:08,4
20/4/2020 1:07,4
20/4/2020 1:00,0
20/4/2020 0:57,4
20/4/2020 0:54,0
20/4/2020 0:52,0
20/4/2020 0:45,4
20/4/2020 0:42,4
20/4/2020 0:38,4
20/4/2020 0:33,4
20/4/2020 0:30,4
20/4/2020 0:22,4
20/4/2020 0:17,4
20/4/2020 0:13,4
20/4/2020 0:09,4
20/4/2020 0:09,0
19/4/2020 23:59,4
19/4/2020 23:57,0
19/4/2020 23:53,4
19/4/2020 23:52,4
19/4/2020 23:39,4
19/4/2020 23:36,0
19/4/2020 23:29,0
19/4/2020 23:19,0
19/4/2020 23:14,4
19/4/2020 23:10,4
19/4/2020 23:09,4
19/4/2020 23:09,4
19/4/2020 22:58,4
19/4/2020 22:57,4
19/4/2020 22:54,4
19/4/2020 22:52,4
19/4/2020 22:51,4
19/4/2020 22:50,4
19/4/2020 22:49,4
19/4/2020 22:44,4
19/4/2020 22:40,4
19/4/2020 22:37,4
19/4/2020 22:35,4
19/4/2020 22:34,4
19/4/2020 22:29,4
19/4/2020 22:27,4
19/4/2020 22:26,4
19/4/2020 22:22,0
19/4/2020 22:19,4
19/4/2020 22:11,4
19/4/2020 22:11,4
19/4/2020 21:57,4
19/4/2020 21:54,4
19/4/2020 21:49,4
19/4/2020 21:45,0
19/4/2020 21:44,4
19/4/2020 21:34,0
19/4/2020 21:33,4
19/4/2020 21:33,4
19/4/2020 21:27,4
19/4/2020 21:18,4
19/4/2020 21:17,0
19/4/2020 21:17,4
19/4/2020 21:16,4
19/4/2020 21:15,4
19/4/2020 21:15,4
19/4/2020 21:14,4
19/4/2020 21:14,4
19/4/2020 21:14,4
19/4/2020 21:13,4
19/4/2020 21:13,4
19/4/2020 21:11,0
19/4/2020 21:11,4
19/4/2020 21:05,0
19/4/2020 20:59,4
19/4/2020 20:59,4
19/4/2020 20:48,4
19/4/2020 20:45,4
19/4/2020 20:39,4
19/4/2020 20:31,4
19/4/2020 20:29,0
19/4/2020 20:27,4
19/4/2020 20:26,4
19/4/2020 20:18,0
19/4/2020 20:18,0
19/4/2020 20:05,4
19/4/2020 20:02,4
19/4/2020 19:55,4
19/4/2020 19:49,4
19/4/2020 19:47,4
19/4/2020 19:37,4
19/4/2020 19:36,4
19/4/2020 19:36,4
19/4/2020 19:32,4
19/4/2020 19:26,4
19/4/2020 19:26,4
19/4/2020 19:25,4
19/4/2020 19:19,4
19/4/2020 19:10,0
19/4/2020 19:05,4
19/4/2020 19:03,4
19/4/2020 19:00,4
19/4/2020 18:55,4
19/4/2020 18:54,4
19/4/2020 18:47,0
19/4/2020 18:44,0
19/4/2020 18:38,0
19/4/2020 18:35,4
19/4/2020 18:33,4
19/4/2020 18:33,4
19/4/2020 18:30,4
19/4/2020 18:27,0
19/4/2020 18:24,4
19/4/2020 18:24,4
19/4/2020 18:15,0
19/4/2020 18:12,4
19/4/2020 18:03,4
19/4/2020 18:03,4
19/4/2020 17:58,0
19/4/2020 17:56,4
19/4/2020 17:56,4
19/4/2020 17:55,4
19/4/2020 17:50,4
19/4/2020 17:49,4
19/4/2020 17:48,4
19/4/2020 17:47,4
19/4/2020 17:47,4
19/4/2020 17:44,4
19/4/2020 17:38,4
19/4/2020 17:37,4
19/4/2020 17:32,4
19/4/2020 17:31,4
19/4/2020 17:20,4
19/4/2020 17:20,4
19/4/2020 17:19,0
19/4/2020 17:11,4
19/4/2020 16:56,0
19/4/2020 16:48,4
19/4/2020 16:47,4
19/4/2020 16:47,4
19/4/2020 16:45,4
19/4/2020 16:45,4
19/4/2020 16:37,4
19/4/2020 16:37,4
19/4/2020 16:36,4
19/4/2020 16:26,4
19/4/2020 16:21,0
19/4/2020 16:20,0
19/4/2020 16:20,4
19/4/2020 16:19,4
19/4/2020 16:18,4
19/4/2020 16:17,0
19/4/2020 16:14,4
19/4/2020 16:07,4
19/4/2020 16:06,4
19/4/2020 16:05,0
19/4/2020 16:04,4
19/4/2020 16:03,4
19/4/2020 15:54,4
19/4/2020 15:53,4
19/4/2020 15:51,4
19/4/2020 15:47,0
19/4/2020 15:46,4
19/4/2020 15:44,4
19/4/2020 15:43,4
19/4/2020 15:42,4
19/4/2020 15:38,4
19/4/2020 15:37,4
19/4/2020 15:35,4
19/4/2020 15:33,4
19/4/2020 15:31,0
19/4/2020 15:30,4
19/4/2020 15:30,0
19/4/2020 15:28,0
19/4/2020 15:25,4
19/4/2020 15:23,4
19/4/2020 15:19,4
