,user,tweet,date_tweet,tweet_id,keyword
59,Trevor Price,#LoanCharge Review says 'law clear from 2010' disproven in #LCAG response. Please join @LoanChargeAPPG &amp; uphold #RuleOfLaw @Nus_Ghani @mariacaulfield @HuwMerriman https://t.co/SiQ77H78Sn,2020-02-08 21:33:26,1226257756061097984,"nus,national university of singapore"
60,Trevor Price,@LCAG_2019 #LoanCharge Review says 'law clear from 2010' disproven in #LCAG response. Please join @LoanChargeAPPG &amp; uphold #RuleOfLaw @Nus_Ghani @mariacaulfield @HuwMerriman,2020-02-08 21:33:05,1226257668861460482,"nus,national university of singapore"
61,simon myers,"@HeldinEU If it was a formal uni course, they'd have the NUS to deal with.  Oh well.  I'll muddle through.  And it gives me an extra three weeks of prep time.  It's still as frustrating as hell.  I suspect I'll be getting drunk tonight..........",2020-02-08 21:24:57,1226255623219752960,"nus,national university of singapore"
62,Lee,Bout To Be Pushing Up Daisy’s For Fucking With The Nus..,2020-02-08 21:05:44,1226250783651483649,"nus,national university of singapore"
63,Jade,"@LuigiBlood Have you seen the 64DD stuff that just got listed? 
https://t.co/mTWuBpTAqE
https://t.co/tTnQPe2KAh
https://t.co/sYePvraar7",2020-02-08 20:42:55,1226245043645767680,"nus,national university of singapore"
64,Venus,@diogo187erz Qual?,2020-02-08 20:42:32,1226244945864003585,"nus,national university of singapore"
65,크릌르ㅡ응ㅇ릉컹컹!!아임낫휴먼,"@monday_so_good @NuS_Dh_ yes

ong dong yee nim
genius goon yo",2020-02-08 19:57:14,1226233548366991360,"nus,national university of singapore"
66,Marcus Chua,"This for the highly expressive Minnan/Hokkien language that my ancestors speak (listed only for those that are different from Mandarin Chinese):

🦇night woman
🐿fluffy rat
🐋 old man of the sea
🦢 sky goose
🦎money dragon
🐛hairy worm

From the eBook: https://t.co/oRxOzwfeoz https://t.co/BCoSBGwhFr",2020-02-08 19:38:36,1226228858631999490,"nus,national university of singapore"
67,Ralph Hardwick,"@Nus_Ghani @GreenMarineUk @OrkneyCouncil @EMEC_Ltd @ukshipping Interesting to see the ‘green’ efforts made in Orkney where the population is sparse, yet in London nothing is being done to address emissions from existing vessels; endorsed by a ‘not fit for purpose’ Clean Maritime Plan. https://t.co/448Yvll6Wy",2020-02-08 19:33:07,1226227479242825730,"nus,national university of singapore"
68,e-slur,hi if you're a cambridge student (both undergrad &amp; postgrad) pls consider voting for me as your NUS delegate 😚✌️ https://t.co/Z9JrzQZeRd https://t.co/BPqNnCIeLd,2020-02-08 19:24:02,1226225192508280832,"nus,national university of singapore"
